Apalmata_419	CAFB1572_b2_c
Apalmata_420	CAFB1582_g2_c
Apalmata_421	CAFB1586_b2_c
Apalmata_422	CAFB1587_b2_c
Apalmata_423	CAFB1588_b2_c
Apalmata_424	CAFB1592_g2_c
Apalmata_425	CAFB1593_b2_c
Apalmata_426	CAFB1595_b2_c
Apalmata_427	CAFB1612_b2_c
Apalmata_428	CAFB1618_b2_c
Apalmata_429	CAFB1624_g2_c
Apalmata_430	CAFB1628_g2_c
Apalmata_431	CAFB1633_b2_c
Apalmata_432	CAFB1638_b2_c
Apalmata_433	CAFB1642_g2_c
Apalmata_434	CAFB1645_g2_c
Apalmata_435	CAFB1655_b2_c
Apalmata_436	CAFB1657_g2_c
Apalmata_437	CAFB1665_b2_c
Apalmata_438	CAFB1669_g2_c
Apalmata_439	CAFB1673_g2_c
Apalmata_440	CAFB1674_g2_c
Apalmata_441	CAFB1675_b2_c
Apalmata_442	CAFB1675_g2_c
Apalmata_443	CAFB1680_b2_c
Apalmata_444	CAFB1683_b2_c
Apalmata_445	CAFB1684_b2_c
Apalmata_446	CAFB1687_b2_c
Apalmata_447	CAFB1696_g2_c
Apalmata_448	CAFB1698_g2_c
Apalmata_449	CAFB1699_b2_c
Apalmata_450	CAFB1706_b2_c
Apalmata_451	CAFB1706_g2_c
Apalmata_452	CAFB1712_b2_c
Apalmata_453	CAFB1716_g2_c
Apalmata_454	CAFB1718_b2_c
Apalmata_455	CAFB1723_b2_c
Apalmata_456	CAFB1726_b2_c
Apalmata_457	CAFB1729_b2_c
Apalmata_458	CAFB1730_b2_c
Apalmata_459	CAFB1733_b2_c
Apalmata_460	CAFB1734_b2_c
Apalmata_461	CAFB1741_g2_c
Apalmata_462	CAFB1744_b2_c
Apalmata_463	CAFB1744_g2_c
Apalmata_464	CAFB1762_b2_c
Apalmata_465	CAFB1764_b2_c
Apalmata_466	CAFB1767_b2_c
Apalmata_467	CAFB1767_g2_c
Apalmata_468	CAFB1774_b2_c
Apalmata_469	CAFB1776_b2_c
Apalmata_470	CAFB1781_b2_c
Apalmata_471	CAFB1788_b2_c
Apalmata_472	CAFB1790_b2_c
Apalmata_473	CAFB1791_g2_c
Apalmata_474	CAFB1793_g2_c
Apalmata_475	CAFB1795_g2_c
Apalmata_476	CAFB1803_b2_c
Apalmata_477	CAFB1805_b2_c
Apalmata_478	CAFB1806_g2_c
Apalmata_479	CAFB1807_b2_c
Apalmata_480	CAFB1814_g2_c
Apalmata_481	CAFB1816_b2_c
Apalmata_482	CAFB1820_b2_c
Apalmata_483	CAFB1820_g2_c
Apalmata_484	CAFB1825_b2_c
Apalmata_485	CAFB1825_g2_c
Apalmata_486	CAFB1827_b2_c
Apalmata_487	CAFB1828_b2_c
Apalmata_488	CAFB1828_g2_c
Apalmata_489	CAFB1830_b2_c
Apalmata_490	CAFB1834_b2_c
Apalmata_491	CAFB1835_b2_c
Apalmata_492	CAFB1836_b2_c
Apalmata_493	CAFB1843_b2_c
Apalmata_494	CAFB1849_b2_c
Apalmata_495	CAFB1850_g2_c
Apalmata_496	CAFB1857_g2_c
Apalmata_497	CAFB1858_b2_c
Apalmata_498	CAFB1859_g2_c
Apalmata_499	CAFB1861_b2_c
Apalmata_500	CAFB1863_b2_c
Apalmata_501	CAFB1865_b2_c
Apalmata_502	CAFB1873_b2_c
Apalmata_503	CAFB1879_b2_c
Apalmata_504	CAFB1880_b2_c
Apalmata_505	CAFB1885_b2_c
Apalmata_506	CAFB1887_b2_c
Apalmata_507	CAFB1889_b2_c
Apalmata_508	CAFB1893_b2_c
Apalmata_509	CAFB1894_g2_c
Apalmata_510	CAFB1904_g2_c
Apalmata_511	CAFB1906_g2_c
Apalmata_512	CAFB1910_g2_c
Apalmata_513	CAFB1915_g2_c
Apalmata_514	CAFB1919_b2_c
Apalmata_515	CAFB1922_b1_c
Apalmata_516	CAFB1923_b1_c
Apalmata_517	CAFB1924_b1_c
Apalmata_518	CAFB1926_b1_c
Apalmata_519	CAFB1927_b1_c
Apalmata_520	CAFB1930_b1_c
Apalmata_521	CAFB1931_b1_c
Apalmata_522	CAFB1932_b1_c
Apalmata_523	CAFB1934_b1_c
Apalmata_524	CAFB1935_b1_c
Apalmata_525	CAFB1935_g1_c
Apalmata_526	CAFB1937_b1_c
Apalmata_527	CAFB1938_b1_c
Apalmata_528	CAFB1939_b1_c
Apalmata_529	CAFB1940_b1_c
Apalmata_530	CAFB1948_b1_c
Apalmata_531	CAFB1950_b1_c
Apalmata_532	CAFB1951_b1_c
Apalmata_533	CAFB1954_b1_c
Apalmata_534	CAFB1956_b1_c
Apalmata_535	CAFB1957_b1_c
Apalmata_536	CAFB1961_b1_c
Apalmata_537	CAFB1961_g1_c
Apalmata_538	CAFB1962_b1_c
Apalmata_539	CAFB1966_b1_c
Apalmata_540	CAFB1968_b1_c
Apalmata_541	CAFB1970_b1_c
Apalmata_542	CAFB1971_b1_c
Apalmata_543	CAFB1972_b1_c
Apalmata_544	CAFB1973_b1_c
Apalmata_545	CAFB1976_b1_c
Apalmata_546	CAFB1977_b1_c
Apalmata_547	CAFB1977_g1_c
Apalmata_548	CAFB1978_b1_c
Apalmata_549	CAFB1979_b1_c
Apalmata_550	CAFB1980_b1_c
Apalmata_551	CAFB1982_b1_c
Apalmata_552	CAFB1984_b1_c
Apalmata_553	CAFB1986_b1_c
Apalmata_554	CAFB1987_b1_c
Apalmata_555	CAFB1990_b1_c
Apalmata_556	CAFB1991_b1_c
Apalmata_557	CAFB1993_b1_c
Apalmata_558	CAFB1994_b1_c
Apalmata_559	CAFB1996_b1_c
Apalmata_560	CAFB1997_b1_c
Apalmata_561	CAFB2000_b1_c
Apalmata_562	CAFB2001_b1_c
Apalmata_563	CAFB2003_b1_c
Apalmata_564	CAFB2006_b1_c
Apalmata_565	CAFB2007_b1_c
Apalmata_566	CAFB2008_b1_c
Apalmata_567	CAFB2010_b1_c
Apalmata_568	CAFB2012_b1_c
Apalmata_569	CAFB2013_b1_c
Apalmata_570	CAFB2014_b1_c
Apalmata_571	CAFB2015_b1_c
Apalmata_572	CAFB2018_g1_c
Apalmata_573	CAFB2020_b1_c
Apalmata_574	CAFB2022_b1_c
Apalmata_575	CAFB2023_b1_c
Apalmata_576	CAFB2025_b1_c
Apalmata_577	CAFB2028_b1_c
Apalmata_578	CAFB2030_b1_c
Apalmata_579	CAFB2034_b1_c
Apalmata_580	CAFB2035_b1_c
Apalmata_581	CAFB2036_b1_c
Apalmata_582	CAFB2037_b1_c
Apalmata_583	CAFB2038_b1_c
Apalmata_584	CAFB2040_b1_c
Apalmata_585	CAFB2041_b1_c
Apalmata_586	CAFB2042_b1_c
Apalmata_587	CAFB2045_b1_c
Apalmata_588	CAFB2045_g1_c
Apalmata_589	CAFB2046_b1_c
Apalmata_590	CAFB2049_b1_c
Apalmata_591	CAFB2053_b1_c
Apalmata_592	CAFB2054_b1_c
Apalmata_593	CAFB2056_b1_c
Apalmata_594	CAFB2057_b1_c
Apalmata_595	CAFB2058_b1_c
Apalmata_596	CAFB2058_g1_c
Apalmata_597	CAFB2060_b1_c
Apalmata_598	CAFB2066_b1_c
Apalmata_599	CAFB2067_b1_c
Apalmata_600	CAFB2069_b1_c
Apalmata_601	CAFB2070_g1_c
Apalmata_602	CAFB2071_b1_c
Apalmata_603	CAFB2074_b1_c
Apalmata_604	CAFB2075_b1_c
Apalmata_605	CAFB2077_b1_c
Apalmata_606	CAFB2079_b1_c
Apalmata_607	CAFB2080_b1_c
Apalmata_608	CAFB2084_b1_c
Apalmata_609	CAFB2085_b1_c
Apalmata_610	CAFB2087_b1_c
Apalmata_611	CAFB2088_b1_c
Apalmata_612	CAFB2090_b1_c
Apalmata_613	CAFB2091_b1_c
Apalmata_614	CAFB2092_b1_c
Apalmata_615	CAFB2096_b1_c
Apalmata_616	CAFB2097_b1_c
Apalmata_617	CAFB2099_b1_c
Apalmata_618	CAFB2102_b1_c
