Ofaveolata_599	comp4091_c0_seq1
Ofaveolata_600	comp4101_c0_seq1
Ofaveolata_601	comp4105_c0_seq1
Ofaveolata_602	comp4117_c0_seq1
Ofaveolata_603	comp4118_c0_seq1
Ofaveolata_604	comp4124_c0_seq1
Ofaveolata_605	comp4129_c0_seq1
Ofaveolata_606	comp4131_c0_seq1
Ofaveolata_607	comp4138_c0_seq1
Ofaveolata_608	comp4150_c0_seq1
Ofaveolata_609	comp4155_c0_seq1
Ofaveolata_610	comp4160_c0_seq1
Ofaveolata_611	comp4168_c0_seq1
Ofaveolata_612	comp4187_c0_seq1
Ofaveolata_613	comp4189_c0_seq1
Ofaveolata_614	comp4198_c0_seq1
Ofaveolata_615	comp4200_c0_seq1
Ofaveolata_616	comp4202_c0_seq1
Ofaveolata_617	comp4207_c0_seq1
Ofaveolata_618	comp4210_c0_seq1
Ofaveolata_619	comp4212_c0_seq1
Ofaveolata_620	comp4217_c0_seq1
Ofaveolata_621	comp4239_c0_seq1
Ofaveolata_622	comp4248_c0_seq1
Ofaveolata_623	comp4250_c0_seq1
Ofaveolata_624	comp4250_c0_seq2
Ofaveolata_625	comp4260_c0_seq1
Ofaveolata_626	comp4263_c0_seq2
Ofaveolata_627	comp4283_c0_seq1
Ofaveolata_628	comp4294_c0_seq2
Ofaveolata_629	comp4295_c0_seq1
Ofaveolata_630	comp4297_c0_seq1
Ofaveolata_631	comp4298_c0_seq2
Ofaveolata_632	comp4308_c0_seq1
Ofaveolata_633	comp4311_c0_seq1
Ofaveolata_634	comp4332_c0_seq1
Ofaveolata_635	comp4336_c0_seq1
Ofaveolata_636	comp4338_c0_seq1
Ofaveolata_637	comp4339_c0_seq1
Ofaveolata_638	comp4343_c0_seq1
Ofaveolata_639	comp4347_c0_seq1
Ofaveolata_640	comp4353_c0_seq1
Ofaveolata_641	comp4354_c0_seq1
Ofaveolata_642	comp4355_c0_seq1
Ofaveolata_643	comp4364_c0_seq1
