Gacrhelia_471	c60817_g1_i7
Gacrhelia_472	c60817_g1_i8
Gacrhelia_473	c60817_g1_i10
Gacrhelia_474	c60817_g1_i11
Gacrhelia_475	c60845_g1_i1
Gacrhelia_476	c60845_g1_i2
Gacrhelia_477	c60845_g1_i3
Gacrhelia_478	c60845_g1_i5
Gacrhelia_479	c60845_g3_i1
Gacrhelia_480	c60845_g1_i7
Gacrhelia_481	c60796_g1_i2
Gacrhelia_482	c60796_g1_i3
Gacrhelia_483	c60796_g1_i5
Gacrhelia_484	c60796_g1_i7
Gacrhelia_485	c60796_g1_i9
Gacrhelia_486	c60796_g1_i10
Gacrhelia_487	c60815_g1_i1
Gacrhelia_488	c60815_g1_i2
Gacrhelia_489	c60815_g3_i2
Gacrhelia_490	c60815_g4_i1
Gacrhelia_491	c61006_g6_i1
Gacrhelia_492	c60894_g1_i1
Gacrhelia_493	c60894_g2_i1
Gacrhelia_494	c60894_g2_i2
Gacrhelia_495	c60894_g3_i1
Gacrhelia_496	c60894_g1_i2
Gacrhelia_497	c60894_g3_i2
Gacrhelia_498	c60894_g3_i3
Gacrhelia_499	c60894_g3_i4
Gacrhelia_500	c60894_g3_i5
Gacrhelia_501	c60894_g3_i6
Gacrhelia_502	c60894_g6_i1
Gacrhelia_503	c60412_g1_i1
Gacrhelia_504	c60412_g1_i2
Gacrhelia_505	c60933_g1_i3
Gacrhelia_506	c60933_g1_i4
Gacrhelia_507	c60933_g1_i12
Gacrhelia_508	c60933_g1_i15
Gacrhelia_509	c60966_g2_i1
Gacrhelia_510	c60966_g2_i2
Gacrhelia_511	c60966_g2_i3
Gacrhelia_512	c60966_g2_i4
Gacrhelia_513	c60966_g2_i5
Gacrhelia_514	c60966_g2_i6
Gacrhelia_515	c60966_g2_i7
Gacrhelia_516	c60966_g4_i1
Gacrhelia_517	c60749_g1_i1
Gacrhelia_518	c60749_g1_i2
Gacrhelia_519	c60749_g2_i1
Gacrhelia_520	c60749_g1_i4
Gacrhelia_521	c60749_g2_i2
Gacrhelia_522	c60749_g2_i3
Gacrhelia_523	c60749_g1_i6
Gacrhelia_524	c60749_g2_i6
Gacrhelia_525	c60749_g1_i8
