Acervicorn_539	GASU01000539.1
Acervicorn_540	GASU01000540.1
Acervicorn_541	GASU01000541.1
Acervicorn_542	GASU01000542.1
Acervicorn_543	GASU01000543.1
Acervicorn_544	GASU01000544.1
Acervicorn_545	GASU01000545.1
Acervicorn_546	GASU01000546.1
Acervicorn_547	GASU01000547.1
Acervicorn_548	GASU01000548.1
Acervicorn_549	GASU01000549.1
Acervicorn_550	GASU01000550.1
Acervicorn_551	GASU01000551.1
Acervicorn_552	GASU01000552.1
Acervicorn_553	GASU01000553.1
Acervicorn_554	GASU01000554.1
Acervicorn_555	GASU01000555.1
Acervicorn_556	GASU01000556.1
Acervicorn_557	GASU01000557.1
Acervicorn_558	GASU01000558.1
Acervicorn_559	GASU01000559.1
Acervicorn_560	GASU01000560.1
Acervicorn_561	GASU01000561.1
Acervicorn_562	GASU01000562.1
Acervicorn_563	GASU01000563.1
Acervicorn_564	GASU01000564.1
Acervicorn_565	GASU01000565.1
Acervicorn_566	GASU01000566.1
Acervicorn_567	GASU01000567.1
Acervicorn_568	GASU01000568.1
Acervicorn_569	GASU01000569.1
Acervicorn_570	GASU01000570.1
Acervicorn_571	GASU01000571.1
Acervicorn_572	GASU01000572.1
Acervicorn_573	GASU01000573.1
Acervicorn_574	GASU01000574.1
Acervicorn_575	GASU01000575.1
Acervicorn_576	GASU01000576.1
Acervicorn_577	GASU01000577.1
Acervicorn_578	GASU01000578.1
Acervicorn_579	GASU01000579.1
Acervicorn_580	GASU01000580.1
Acervicorn_581	GASU01000581.1
Acervicorn_582	GASU01000582.1
Acervicorn_583	GASU01000583.1
Acervicorn_584	GASU01000584.1
Acervicorn_585	GASU01000585.1
Acervicorn_586	GASU01000586.1
Acervicorn_587	GASU01000587.1
Acervicorn_588	GASU01000588.1
Acervicorn_589	GASU01000589.1
Acervicorn_590	GASU01000590.1
Acervicorn_591	GASU01000591.1
Acervicorn_592	GASU01000592.1
Acervicorn_593	GASU01000593.1
Acervicorn_594	GASU01000594.1
Acervicorn_595	GASU01000595.1
Acervicorn_596	GASU01000596.1
Acervicorn_597	GASU01000597.1
Acervicorn_598	GASU01000598.1
Acervicorn_599	GASU01000599.1
