Pstrigosa_587	comp57246_c0_seq1
Pstrigosa_588	comp48233_c0_seq16
Pstrigosa_589	comp48486_c0_seq1
Pstrigosa_590	comp57309_c0_seq1
Pstrigosa_591	comp47211_c0_seq5
Pstrigosa_592	comp58028_c0_seq1
Pstrigosa_593	comp46644_c0_seq2
Pstrigosa_594	comp50082_c0_seq1
Pstrigosa_595	comp50824_c0_seq2
Pstrigosa_596	comp47121_c0_seq1
Pstrigosa_597	comp47573_c0_seq2
Pstrigosa_598	comp48831_c0_seq3
Pstrigosa_599	comp50030_c0_seq1
Pstrigosa_600	comp55984_c0_seq1
Pstrigosa_601	comp50824_c0_seq1
Pstrigosa_602	comp56128_c0_seq1
Pstrigosa_603	comp46332_c0_seq1
Pstrigosa_604	comp52649_c0_seq2
Pstrigosa_605	comp53778_c0_seq2
Pstrigosa_606	comp49865_c0_seq1
Pstrigosa_607	comp51848_c0_seq2
Pstrigosa_608	comp56504_c0_seq4
Pstrigosa_609	comp50133_c0_seq1
Pstrigosa_610	comp56719_c0_seq1
Pstrigosa_611	comp47629_c0_seq3
Pstrigosa_612	comp54369_c0_seq2
Pstrigosa_613	comp48972_c0_seq1
Pstrigosa_614	comp49010_c0_seq1
Pstrigosa_615	comp54186_c0_seq1
Pstrigosa_616	comp47871_c1_seq2
Pstrigosa_617	comp52737_c0_seq2
Pstrigosa_618	comp46687_c0_seq5
Pstrigosa_619	comp50796_c0_seq2
Pstrigosa_620	comp56488_c0_seq5
Pstrigosa_621	comp58272_c0_seq1
Pstrigosa_622	comp51427_c0_seq6
Pstrigosa_623	comp54800_c0_seq1
Pstrigosa_624	comp48962_c0_seq1
Pstrigosa_625	comp54235_c0_seq1
Pstrigosa_626	comp52160_c0_seq1
Pstrigosa_627	comp48105_c0_seq5
Pstrigosa_628	comp53492_c0_seq1
Pstrigosa_629	comp58244_c0_seq1
Pstrigosa_630	comp57660_c0_seq1
Pstrigosa_631	comp50067_c0_seq1
Pstrigosa_632	comp54620_c0_seq1
Pstrigosa_633	comp47629_c0_seq1
Pstrigosa_634	comp50535_c0_seq4
Pstrigosa_635	comp55697_c0_seq6
Pstrigosa_636	comp47688_c0_seq2
