Plobata_649	c58632_g2_i1
Plobata_650	c58632_g2_i2
Plobata_651	c58632_g3_i1
Plobata_652	c58438_g4_i1
Plobata_653	c58438_g6_i1
Plobata_654	c58438_g7_i1
Plobata_655	c58438_g6_i2
Plobata_656	c58675_g3_i3
Plobata_657	c58134_g1_i1
Plobata_658	c58134_g1_i2
Plobata_659	c58134_g1_i4
Plobata_660	c58126_g1_i1
Plobata_661	c58126_g1_i2
Plobata_662	c58634_g2_i1
Plobata_663	c58634_g2_i2
Plobata_664	c58634_g2_i5
Plobata_665	c58944_g4_i2
Plobata_666	c58851_g1_i1
Plobata_667	c58851_g1_i2
Plobata_668	c58851_g3_i1
Plobata_669	c58851_g3_i2
Plobata_670	c58165_g1_i1
Plobata_671	c58165_g1_i2
Plobata_672	c58165_g1_i4
Plobata_673	c58165_g1_i6
Plobata_674	c58811_g1_i1
Plobata_675	c58811_g1_i2
Plobata_676	c58633_g1_i1
Plobata_677	c58633_g2_i1
Plobata_678	c58633_g4_i1
Plobata_679	c58633_g4_i2
Plobata_680	c59012_g3_i1
Plobata_681	c58929_g1_i1
Plobata_682	c58540_g1_i2
Plobata_683	c58540_g1_i3
Plobata_684	c58540_g1_i4
Plobata_685	c58540_g1_i7
Plobata_686	c58462_g1_i1
Plobata_687	c58462_g1_i2
Plobata_688	c58530_g1_i1
Plobata_689	c58530_g1_i2
Plobata_690	c58337_g1_i1
Plobata_691	c58337_g1_i2
Plobata_692	c58234_g1_i1
Plobata_693	c58573_g1_i1
Plobata_694	c58427_g2_i1
Plobata_695	c58474_g2_i2
Plobata_696	c58474_g3_i1
Plobata_697	c58428_g1_i1
Plobata_698	c58428_g1_i2
Plobata_699	c58117_g1_i1
Plobata_700	c58117_g1_i2
Plobata_701	c58117_g1_i3
Plobata_702	c58468_g6_i1
Plobata_703	c58468_g6_i2
Plobata_704	c58985_g1_i1
Plobata_705	c58985_g1_i2
Plobata_706	c58372_g1_i1
Plobata_707	c58372_g1_i2
Plobata_708	c58372_g2_i1
Plobata_709	c58152_g1_i1
Plobata_710	c58152_g1_i2
Plobata_711	c58152_g1_i3
Plobata_712	c59024_g1_i1
Plobata_713	c58213_g3_i1
Plobata_714	c58213_g3_i2
Plobata_715	c58663_g6_i1
Plobata_716	c58663_g6_i2
Plobata_717	c58585_g1_i1
Plobata_718	c58381_g1_i1
Plobata_719	c58381_g7_i1
Plobata_720	c58146_g1_i1
Plobata_721	c58146_g1_i2
Plobata_722	c58146_g1_i3
Plobata_723	c58960_g1_i1
Plobata_724	c58960_g2_i1
Plobata_725	c58960_g2_i2
Plobata_726	c58960_g1_i2
Plobata_727	c58960_g2_i3
Plobata_728	c58960_g1_i3
Plobata_729	c58960_g1_i4
Plobata_730	c58960_g1_i6
Plobata_731	c58684_g1_i1
Plobata_732	c58684_g1_i2
Plobata_733	c58684_g2_i1
Plobata_734	c58270_g1_i1
Plobata_735	c58270_g1_i4
Plobata_736	c58270_g1_i5
Plobata_737	c58270_g1_i6
Plobata_738	c58965_g1_i3
Plobata_739	c58965_g3_i1
Plobata_740	c58629_g1_i1
Plobata_741	c58629_g2_i1
Plobata_742	c58343_g1_i1
Plobata_743	c58886_g1_i1
