Maequitube_619	c85326_g3_i5
Maequitube_620	c85326_g3_i6
Maequitube_621	c85326_g3_i7
Maequitube_622	c85326_g3_i8
Maequitube_623	c85326_g2_i2
Maequitube_624	c84843_g3_i3
Maequitube_625	c84843_g3_i4
Maequitube_626	c84843_g5_i1
Maequitube_627	c84843_g3_i5
Maequitube_628	c84843_g3_i8
Maequitube_629	c84575_g2_i1
Maequitube_630	c84575_g2_i2
Maequitube_631	c84575_g3_i1
Maequitube_632	c84575_g3_i2
Maequitube_633	c84575_g3_i3
Maequitube_634	c84575_g3_i4
Maequitube_635	c84575_g3_i5
Maequitube_636	c84575_g3_i6
Maequitube_637	c84575_g4_i1
Maequitube_638	c84950_g1_i1
Maequitube_639	c85218_g1_i2
Maequitube_640	c85218_g1_i3
Maequitube_641	c85218_g1_i4
Maequitube_642	c85218_g2_i2
Maequitube_643	c84582_g1_i1
Maequitube_644	c84582_g1_i2
Maequitube_645	c84582_g1_i3
Maequitube_646	c84582_g1_i5
Maequitube_647	c84582_g1_i6
Maequitube_648	c84582_g1_i7
Maequitube_649	c84582_g1_i8
Maequitube_650	c84696_g1_i1
Maequitube_651	c84696_g1_i2
Maequitube_652	c84696_g1_i3
Maequitube_653	c84696_g1_i5
Maequitube_654	c84696_g1_i7
Maequitube_655	c84814_g2_i1
Maequitube_656	c84814_g2_i2
Maequitube_657	c85239_g1_i1
Maequitube_658	c85239_g1_i2
Maequitube_659	c84959_g2_i1
Maequitube_660	c84959_g2_i3
Maequitube_661	c84959_g2_i4
Maequitube_662	c84959_g2_i5
Maequitube_663	c84959_g2_i6
Maequitube_664	c84959_g2_i7
Maequitube_665	c84959_g3_i1
Maequitube_666	c84959_g3_i2
Maequitube_667	c84959_g2_i8
Maequitube_668	c84959_g3_i3
Maequitube_669	c84959_g2_i9
Maequitube_670	c84959_g3_i4
Maequitube_671	c84959_g2_i12
Maequitube_672	c84599_g1_i1
Maequitube_673	c84599_g2_i1
Maequitube_674	c84599_g1_i5
Maequitube_675	c84599_g1_i6
Maequitube_676	c84599_g1_i7
Maequitube_677	c84599_g1_i8
Maequitube_678	c84599_g3_i1
Maequitube_679	c84599_g3_i2
Maequitube_680	c84599_g1_i10
Maequitube_681	c84599_g1_i12
Maequitube_682	c84599_g5_i1
Maequitube_683	c84899_g1_i1
Maequitube_684	c84899_g1_i2
Maequitube_685	c84932_g1_i1
Maequitube_686	c84932_g1_i2
Maequitube_687	c84932_g1_i3
Maequitube_688	c84932_g1_i4
Maequitube_689	c84932_g1_i6
Maequitube_690	c84932_g1_i7
Maequitube_691	c85403_g1_i1
Maequitube_692	c85403_g1_i2
Maequitube_693	c85403_g1_i3
Maequitube_694	c85403_g1_i4
Maequitube_695	c84927_g3_i1
Maequitube_696	c84927_g3_i2
Maequitube_697	c84927_g4_i1
Maequitube_698	c84927_g3_i3
Maequitube_699	c84927_g3_i4
Maequitube_700	c84927_g3_i5
Maequitube_701	c84927_g3_i6
Maequitube_702	c84927_g3_i8
Maequitube_703	c84927_g5_i1
Maequitube_704	c84927_g4_i3
Maequitube_705	c84927_g6_i1
Maequitube_706	c84927_g6_i2
Maequitube_707	c84927_g3_i10
Maequitube_708	c84927_g3_i11
Maequitube_709	c85219_g4_i1
Maequitube_710	c85219_g4_i2
Maequitube_711	c85219_g3_i6
Maequitube_712	c84976_g3_i1
Maequitube_713	c84976_g3_i2
Maequitube_714	c84976_g3_i3
Maequitube_715	c84976_g3_i4
Maequitube_716	c84976_g4_i1
Maequitube_717	c84976_g4_i2
Maequitube_718	c84976_g6_i1
Maequitube_719	c84976_g3_i6
Maequitube_720	c84976_g3_i8
Maequitube_721	c84976_g3_i11
Maequitube_722	c84976_g4_i3
Maequitube_723	c85408_g1_i1
Maequitube_724	c85408_g2_i2
Maequitube_725	c85415_g2_i1
Maequitube_726	c85415_g2_i2
Maequitube_727	c85415_g2_i3
Maequitube_728	c85253_g3_i1
Maequitube_729	c85253_g7_i4
Maequitube_730	c85253_g7_i6
Maequitube_731	c85442_g2_i2
Maequitube_732	c85442_g2_i3
Maequitube_733	c85442_g2_i4
Maequitube_734	c85442_g2_i5
Maequitube_735	c85442_g2_i6
Maequitube_736	c85163_g3_i1
Maequitube_737	c85163_g3_i2
Maequitube_738	c85163_g3_i3
Maequitube_739	c85163_g3_i4
Maequitube_740	c85163_g3_i5
Maequitube_741	c85163_g3_i6
Maequitube_742	c85086_g1_i1
Maequitube_743	c85086_g1_i2
Maequitube_744	c85086_g1_i3
Maequitube_745	c85086_g3_i1
Maequitube_746	c85086_g3_i2
Maequitube_747	c85086_g3_i3
Maequitube_748	c84792_g1_i1
Maequitube_749	c85213_g1_i1
Maequitube_750	c85213_g2_i1
Maequitube_751	c85213_g2_i2
Maequitube_752	c85213_g2_i3
Maequitube_753	c84629_g1_i1
Maequitube_754	c84629_g1_i2
Maequitube_755	c84629_g1_i3
Maequitube_756	c84629_g1_i4
Maequitube_757	c84629_g1_i5
Maequitube_758	c84629_g1_i6
Maequitube_759	c85089_g1_i1
Maequitube_760	c85089_g1_i2
Maequitube_761	c85089_g1_i4
Maequitube_762	c85147_g1_i1
