Gastreata_751	c79922_g1_i2
Gastreata_752	c79922_g2_i3
Gastreata_753	c79922_g1_i4
Gastreata_754	c79922_g2_i4
Gastreata_755	c79922_g2_i5
Gastreata_756	c79922_g2_i7
Gastreata_757	c79922_g4_i1
Gastreata_758	c79922_g4_i2
Gastreata_759	c79922_g2_i9
Gastreata_760	c79922_g5_i1
Gastreata_761	c80115_g1_i2
Gastreata_762	c79972_g2_i1
Gastreata_763	c79972_g2_i2
Gastreata_764	c79972_g2_i3
Gastreata_765	c79972_g2_i5
Gastreata_766	c79972_g2_i6
Gastreata_767	c79972_g2_i7
Gastreata_768	c79972_g2_i8
Gastreata_769	c79972_g2_i9
Gastreata_770	c80264_g1_i1
Gastreata_771	c80264_g2_i1
Gastreata_772	c80264_g1_i2
Gastreata_773	c80264_g1_i3
Gastreata_774	c80264_g1_i4
Gastreata_775	c80264_g1_i5
Gastreata_776	c79820_g1_i3
Gastreata_777	c79820_g1_i7
